Rank,Title,Content
136,도메인 주도 개발 시작하기,"<도메인 주도 개발 시작하기> 

가장 쉽게 배우는 도메인 주도 설계 입문서!



이 책은 도메인 주도 설계(DDD)를 처음 배우는 개발자를 위한 책이다. 실제 업무에 DDD를 적용할 수 있도록 기본적인 DDD의 핵심 개념을 익히고 구현을 통해 학습할 수 있도록 구성했다. 이 책으로 도메인 모델을 이용하여 애플리케이션을 구현하면서 DDD에 대한 이해를 넓힐 수 있을 것이다."
137,개정판｜헤드 퍼스트 디자인 패턴,"<개정판｜헤드 퍼스트 디자인 패턴> 

유지관리가 편리한 객체지향 소프트웨어 만들기!

“『헤드 퍼스트 디자인 패턴(개정판)』 한 권이면 충분합니다!”



이유 1. 흥미로운 이야기와 재치 넘치는 구성이 담긴 <헤드 퍼스트> 시리즈!

하나의 패턴에 하나의 이야기를 담았습니다. 틀에 박히지 않아 지루할 틈이 없는 구성과 친구와 이야기하듯 편안한 대화체로 이야기를 풀어냅니다. 이야기 속에 다양한 방법으로 해결할 수 있는 질문과 90개 이상의 연습문제를 담았습니다. 마치 게임 퀘스트를 해결하듯 문제를 하나하나 해결하다 보면 학습한 내용이 머릿속에 강렬하게 남습니다.



이유 2. 원스톱으로 배우는 14가지 GoF 핵심 디자인 패턴과 9가지 객체지향 디자인 원칙!

현장에서 자주 사용되는 옵저버, 어댑터, MVC 패턴 등 14가지 GoF 객체지향 패턴을 중점으로 패턴의 정의, 사용 시기, 사용처, 사용 이유, 즉시 디자인에 적용하는 방법을 알려줍니다. 이와 더불어 객체지향 프로그래밍에 광범위하게 적용할 수 있는 OCP, 할리우드 원칙 등 9가지 객체지향 디자인 원칙과 패턴으로 생각하는 방법도 알려줍니다.



이유 3. 시대의 변화에 맞춘 개정과 한국 독자만을 위한 특별판!

자바 8과 자바 16 이상에서 무리 없이 동작할 수 있도록 예제 코드를 수정했으며, 부가적인 설명과 Q&A 질문을 추가했습니다. 또한 16여 년 만의 개정을 기념해 오직 한국 독자만을 위한 새로운 삽화를 사용하고 한글 친화적인 구성했습니다. 원서를 읽을 때보다 더욱 편안하게 디자인 패턴을 학습할 수 있습니다.





이 책을 읽어야 하는 당신!



● 소프트웨어 출시는 완벽 그 자체! “어?~ 코드 수정하려고 다시 보니까 난리…”

→ 유지보수만 생각하면 그저 눈물인 주니어 (자바) 개발자



● 코딩 실력은 장판파의 장비! “어?~ 팩토리 메소드 패턴을 이렇게 적용했던가?”

→ 디자인 패턴을 다시 한번 살펴보고 싶은 시니어 (자바) 개발자



● 혼자 공부해서 다진 프로그래밍 언어 실력! “어?~ 근데 패턴이 뭐야?” 

→ 개발 현장의 소프트웨어 디자인 방법이 궁금한 개발자 지망생"
138,2022 제5회 한국과학문학상 수상작품집,"<2022 제5회 한국과학문학상 수상작품집> “김초엽” “천선란”의 탄생을 알린 한국과학문학상이 돌아왔다!
우리의 밤을 가로지르며 출현하는 신예 작가들의 빛나는 우주!

세계관을 구축하는 이야기는 필연적으로 우주에 대한 질문 또는 대답으로 시작하기 마련이며, 이는 고대 신화나 현대 SF나 마찬가지다. 고대 중국의 세계관이 담긴 『천자문』이 “하늘은 검고 땅은 누르며, 우주는 넓고도 거칠다”라는 문장으로 시작하는 것처럼, SF도 푸른 하늘 너머에 있는 검고 광활한 우주에 질문을 던지며 시작한다. 그러나, 당연하게도 우주엔 답이 없고, 그저 텅 빈 어둠만이 있을 뿐이다. 답을 구할 방법은 하나뿐이다. 우주의 빈 부분을 상상력으로 채워 자신만의 우주를 새롭게 만드는 것. 그리고 지금 여기, 빛나는 상상력으로 자신의 우주를 창조하려는 6명의 신예 작가가 있다. 바로 제5회 한국과학문학상 중·단편 부문 수상자인 “서윤빈”, “김혜윤”, “김쿠만”, “김필산”, “성수나”, “이멍”이다.
지난 2019년부터 오는 2022년까지, 우리의 지난밤은 팬데믹으로 인해 어둡고 암울했다. 그 여파로 한국과학문학상도 한 회를 쉬게 되었으나, 주최사 〈허블〉과 파트너사 〈스튜디오드래곤〉이 만나 다행히 2년 만에 재개하게 됐다. 문학상 공모 이후, SF 팬덤이 보여준 반응은 실로 놀라웠다. 감사하게도 그들은 한국과학문학상을 잊지 않았다는 것을 폭발적인 응모 편수를 통해 몸소 보여줬다. 예년 평균 250여 편이었던 응모 편수가 2배 이상 증가한 550여 편에 이른 것이다. 허블은 그 성원에 힘입어 한국과학문학상을 전격 리뉴얼했다. 문학의 최전선에서 활동 중인 “김보영”, “김성중”, “김희선” 소설가와 “강지희”, “인아영” 평론가와 함께 심사위원단을 새롭게 구성했으며, 그들과 함께 맞이한 신예 작가의 작품을 새로운 디자인과 특별 보급가로 준비했다. 이 모든 리뉴얼은 조금이라도 더 넓은 세상에서 작가의 탄생을 함께하기 위해 진행되었다. 
앞서 김초엽(제2회 중·단편 대상)과 천선란(제4회 장편 대상) 등 21명의 신예 작가가 절망의 어둠 속에서 회복의 빛을 그러모아 연대의 우주를 빚어냈듯이, 제5회 중·단편 수상자들 또한 지금 우리가 가진 불안과 두려움을 가지고서 희망의 우주를 빚는다. 지금 우리의 불안이 팬데믹 등 미래적인 사건에서 비롯된 만큼, 그 불안을 희망으로 바꿀 상상력도 좀 더 미래적일 필요가 있다. 어두웠던 우리의 지난밤, 그 밤하늘을 밝혀줄 6개의 우주를 지금부터 소개한다."
139,"뇌, 욕망의 비밀을 풀다","<뇌, 욕망의 비밀을 풀다> 

10년 넘게 뇌과학자, 마케터, 경영자들이 
추천하는 ‘신경마케팅’ 분야의 독보적인 책! 

왜 이 책은 중고시장에서 10만 원에 팔릴까?
빅데이터도 찾지 못한 뇌 속에 숨겨진 소비심리와 구매욕망의 모든 것!

★뇌과학자 정재승 교수 강력 추천!
★10억 연봉 유튜버의 인생 책!
★독일 최고의 마케팅 책 선정!
★전면 개정증보판!

빅데이터도 찾지 못한 
뇌 속에 숨겨진 구매욕망을 해독하다!

2010년 독일 최고의 마케팅 책으로 선정된 이 책은 뇌 연구와 마케팅이 현재 어디까지 와 있는지 보여준다. 몇 년 전부터 많은 기업이 빅데이터를 활용해 마케팅하고 있다. 하지만 실제 기업들이, 혹은 실무자들이 빅데이터를 통해 얼마나 가치 있는 정보를 분석해내며 과학적으로 활용하고 있는가에 대해서는 회의적인 게 사실이다. 다시 말해 빅데이터 분석 기술이 아무리 발달해도 인간의 뇌 속에 숨겨진 구매동기와 소비욕망의 본질을 파악하지 못한다면 제아무리 뛰어난 제품이라도 시장에서 성공하기 어렵다. 최근 갤럭시 폴드가 출시 하루 만에 완판되었다. 업계에 따르면 구매자 성별 비중은 남성 90%, 여성 10%로 남성이 압도적으로 높았으며, 연령별로는 20·30대(60%), 40대(22%), 50대(5%) 순이었다. 얼리어답터 성향이 강한 2030 남성들이 열광적으로 반응했다는 얘기다. 도대체 2030 남성들은 왜 이 제품에 매력을 느꼈으며 그들의 구매패턴과 동기는 무엇일까? 인간의 뇌 속에 숨겨진 구매욕망에 그 답이 있다. 그런 점에서 정재승 교수는 이 책을 강력히 추천한다. “고객이 왜 우리 제품을 살까? 어떤 잠재 고객에게 마케팅해야 우리 제품이 더 많은 구매로 이어질까? 이 책은 이 질문에 정확한 답을 제공한다. 고객의 뇌를 해부하고 그들의 욕망을 읽어낸다. 무언가를 팔아야 하고 또 누군가의 마음을 얻어야 하는 사람들에게 이 책은 더없이 유용한 지침서가 될 것이다.”"
140,걷기의 세계,"<걷기의 세계> 당신의 뇌를 깨우고 싶다면, 지금 일어나 걸어라!

1. * 뇌과학 박사이자 유튜브 <장동선의 궁금한 뇌> 운영자 ‘장동선’ 추천도서!
2. * 걷기의 진화적 기원부터 최첨단 연구에서 나온 새로운 발견까지
3. * 가장 진화적인 운동을 바라보는 뇌과학자의 시선  

“당신의 뇌에 줄 수 있는 가장 좋은 선물은 당장 일어나 걷는 것이다!” 
- 장동선, (뇌과학 박사, <장동선의 궁금한 뇌> 유튜브 운영자, 《뇌는 춤추고 싶다》 저자)

“걸으며 생각한 것만이 가치가 있다.” 
- 프리드리히 니체

걷기는 왜 몸에 좋고, 뇌에 좋으며, 나아가 어떻게 더 나은 사회와 문명을 만드는가? 인간의 걷기는 침팬지 같은 영장류의 걷기와 무엇이 다른가? 걷기는 어떻게 우리가 생각하고 추론하며 기억하고 읽고 쓰는 일에 영향을 미칠 수 있을까? 그리고 이건 어떻게 과학적으로 설명될 수 있을까? 
현대인은 기술의 발전으로 빠르게 이동하는 삶을 살고 있지만 스스로 몸을 움직여서 이동하는 일이 적어졌다. 도시 경관을 활보하며 과학, 자연, 건축, 문학을 되돌아보는 일은 우리의 삶에서 멀어져 버린 것이다. 그리고 움직임이 적어질수록 우리의 사고가 납작해지고 멍해진 걸 일상에서 종종 느낀다. 이는 과학적으로도 증명된 사실이다. 우리가 걸을 때, 뇌는 자극을 받으며 활성화한다. 현대인의 고질병인 스트레스, 우울증, 불안감 등도 이를 통해 해결할 수 있다.
많은 철학자와 예술가들은 걷기 예찬론자였다. 고대 그리스의 소요학파 철학자들은 이동하며 가르침을 전했고, 철학자 프리드리히 니체는 ""걸으며 생각한 것만이 가치가 있다""고 말했다. 또 프랑스 시인 샤를 보들레르는 한가로이 도시의 길을 걸으며 도시를 경험하는 사람들을 ‘플라뇌르’라고 말하며, 그들은 스쳐 지나가는 도시의 단편을 포착하고 지적 심미안으로 세상을 바라볼 수 있는 사람들이라고 봤다. 니체와 보들레르가 그랬듯이, 우리는 걷기를 통해 감정, 창의력 그리고 사고가 깨어나는 체험을 할 수 있을 것이다. 걷기는 인류의 문명을 발전시켰고, 멀리 내다보게 했으며, 다른 동물보다 고차원적인 발상과 사고가 가능하게 했다. 이쯤 되면 걷기는 인류의 축복이다.
《걷기의 세계》는 걷기가 우리의 몸과 뇌에 주는 영향을 예찬하고, 독특한 인간 기술을 감상하도록 우리를 초대하는 책이다. 수백만 년 전 해저의 생명체까지 거슬러 올라가는 걷기의 진화적 기원에서부터 최첨단 연구에서 나온 새로운 발견도 만나볼 수 있다. 그리고 걷기의 즐거움, 건강상의 이점 그리고 메커니즘을 조명하며 우리에게 의자에서 일어나 더 행복하고 건강하고 더 창조적인 자아를 발견하도록 일깨운다. 이제 자리에서 일어나 걸을 때다. 산을 오르든, 공원을 내려가든, 아니면 단순히 학교와 직장에 가든지 말이다. 책의 안내에 따라서 인간만이 할 수 있는 걷기로 세상을 있는 그대로 보고, 더욱 나은 삶을 향해 나아가자.


<목차>

들어가며

1. 걷기, 왜 좋은가 
2. 걷기의 기원 
3. 걷기의 메커니즘 
4. 뇌 안의 GPS 
5. 도시를 걷다 
6. 몸과 뇌를 위한 치유 
7. 창의적 걷기 
8. 사회적 걷기 

나가며 
감사의 글 
참고문헌"
141,묘사의 힘,"<묘사의 힘> “이제 우리는 이 책을 옆에 두고
미뤄두었던 소설 쓰기를 시작하기만 하면 된다.”
_이기호 소설가 강력 추천!

독자의 마음속에 영원히 남을 한 장면을 쓰라!
‘내 글이 작품이 되는 법’ 시리즈 1편

아마존 베스트셀러 1위 작가이자 편집자의 글쓰기 분야 스테디셀러
아마존 리뷰 900개 돌파, 평점 4.6점

헤밍웨이의 일화로 알려진 유명한 이야기가 있다. 누군가 여섯 단어만 사용해 자신을 울릴 만한 소설을 써보라고 하자 헤밍웨이는 즉시 이렇게 썼다고 한다. “한 번도 신지 않은 아기 신발 팝니다.” 이 전설 같은 이야기는 좋은 소설이란 무엇인지 단적으로 보여준다. 작가는 인물이 어떤 상태고 어떤 감정이라고 독자에게 ‘말해주지’ 않았다. 하지만 독자가 적극적으로 이야기에 돌입하고 인물이 느끼는 감정에 공감하게 만들었다. 게다가 군더더기 없이 간결하게 썼다. 이것이 ‘보여주기’다.

‘말하지 말고 보여주라’는 문학을 좋아하거나 글을 쓰는 사람이라면 한번쯤 들어본 조언일 것이다. 아마존 베스트셀러 1위 작가이자 편집자인 샌드라 거스는 작가 혹은 예비 작가들이 이 글쓰기 원칙을 제대로 이해하지 못했거나, 알지만 자기 글에 적용하는 것을 어려워한다고 말한다. 이 책은 샌드라 거스가 지금까지 써온 숱한 베스트셀러와 편집해온 어마어마한 분량의 원고를 토대로 ‘말하기’와 ‘보여주기’의 섬세하고도 미묘한 차이를 명쾌하게 설명한다. 나아가 당장이라도 내 글을 고칠 수 있도록 현실적인 수정 방법 및 글쓰기 훈련법을 소개한다.

<묘사의 힘>은 ‘말하지 말고 보여주라’는 말의 정의부터 시작해 왜 반드시 ‘보여주어야’ 하는지, 어떻게 ‘보여줄’ 수 있는지 체계적으로 정리한다. 인물의 성격은 어떻게 드러내야 할까? 서스펜스는 어떻게 쌓아올리고, 대화에서 절대 쓰면 안 되는 말은 무엇일까? 형용사와 부사는 왜 빼는 게 좋을까? 세계관을 이해하기 위한 정보는 어느 타이밍에 흘려 넣어야 효과적일까? 이 책을 곁에 두고 내 글을 한 문장, 한 문장 고쳐보자. 두근거리며 읽었던 나의 인생 소설처럼 내 글도 작품이 될 수 있다. 말하지 말고, 압도하라! 

추천의 말
소설가란, 필연적으로 작품 뒤로 사라질 수밖에 없는 운명을 지닌 사람이다. 그 운명을 거부하고 작품 앞으로 나서는 순간, 소설은 소설가의 부록처럼 그 빛을 잃고 하나의 입장으로 떨어지고 만다. 그래서 소설가의 문장은 ‘말하기’보단 ‘보여주기’로 갈 수밖에 없다. 그것이 문장을 대하는 소설가의 윤리다. 이 작은 책은 마치 소설 쓰기의 은밀한 기술을 가르쳐주고 있는 것처럼 보이지만, 그것이 마지막에 도착한 곳은 역시나 소설 쓰기의 태도다. 작가의 입장을 대변하는 글쓰기가 아닌, 독자와 함께 경험하고 감각하는 글쓰기, 주장을 밀고 나가는 글쓰기가 아닌, 타인과 감정을 공유하는 글쓰기. 그래서 쓰는 자와 읽는 자 모두 감응할 수 있는 글쓰기의 맨투맨 프로그램. 이제 우리는 이 책을 옆에 두고 미뤄두었던 소설 쓰기를 시작하기만 하면 된다. 두려운 건 없다. 다 쏟아낸 뒤 고치면 된다. 그것이 이 책이 우리에게 주는 두 번째 가르침이다. 
이기호(소설가)"
142,프로세스 이코노미,"<프로세스 이코노미> 

BTS, 넷플릭스, 샤오미, 파타고니아…
팔리는 프로세스는 어떻게 만들어지는가?

이제 당신의 ‘과정’이 ‘가치’를 만든다

가치의 원천이 ‘아웃풋’에서 ‘프로세스’로 이행하는 시대,
모든 사람이 반드시 읽어야 할 책

- 야마구치 슈 (《철학은 어떻게 삶의 무기가 되는가》 저자)


  물건만 좋다고 잘 팔리는 시대는 지났다. 아무리 혁신적인 상품을 내놓아도 비슷한 품질에 더 저렴한 가격의 후발주자들이 발 빠르게 따라잡는다. ‘질 좋은 상품’을 만들어야 한다고 배워온 우리는 혼란스럽다. 앞으로는 무엇을 만들어서 어떻게 팔아야 할까? 우리의 경쟁력은 어디에 있는 걸까?

  “유니클로의 3만 원대 청바지와 리바이스의 10만 원대 청바지는 얼마나 다를까?” 전문가들에 따르면 이 둘은 질적인 면에서 큰 차이가 없다고 한다. 다만, 같은 옷이라고 해도 옷을 만드는 ‘프로세스’와 그에 얽힌 ‘스토리’가 격차를 벌린다. 아웃풋의 차이가 점차 사라지면서 이제 가치는 ‘프로세스’에서 나오는 세상이 온 것이다. 

  이 책은 사람도 물건도 쉽게 묻혀버리는 세상에서 살아남을 경쟁력으로써 ‘프로세스 이코노미’라는 새로운 프레임을 제시한다. 프로세스 이코노미는 완성품이 아닌 ‘과정(프로세스)’을 파는 전략이다. 고유한 가치관을 끝까지 쫓는 모습이나 난관을 극복하여 마침내 결과물을 만들어내는 드라마 같은 스토리 등 오직 그 순간에만 마주할 수 있는 ‘과정’에서 독창적인 가치와 비즈니스 기회를 포착한다. 

  중소기획사 출신의 BTS는 어떻게 글로벌 아이돌이 되었을까? 샤오미는 어떻게 삼성과 애플 사이에서 살아남았을까? 70년 전통의 곰표는 어떻게 1020세대의 pick이 되었을까? 《프로세스 이코노미》에는 지금 우리가 프로세스를 주목해야 하는 이유부터 ‘프로세스 이코노미’의 원리, 그리고 비슷한 조건에서 누구도 카피할 수 없는 독보적 가치를 만들어낸 브랜드들의 이야기가 담겨 있다. 세상의 변화에 주목하며 새로운 가치의 원천을 찾고 있다면 이 책에서 그 답을 찾을 수 있을 것이다."
143,하트 오브 비즈니스,"<하트 오브 비즈니스> 

《월 스트리트 저널》 《파이낸셜 타임스》 베스트셀러

쓰러져 가던 기업 ‘베스트 바이’를 회생시킨, 새로운 시대의 실질적 경영 지침서!

어떤 기업을 꿈꾸는가? 팬데믹, 기후변화, 국가 간 갈등 등 예측 불가능한 위기 속에서 기업의 생존도 위협받고 있다. 반면, 사회가 기업에 요구하는 역할은 더욱 커졌다. 기업 내부에서도 세대 간 격차가 심화되면서, 수직적 직급에 따른 상명하복식 문화가 바뀌고 있다. 이윤과 성과를 최우선하는 기존 경영 방식에 빨간 불이 켜진 것이다. 그렇다면, 새로운 시대에는 어떤 경영 활동이 기업을 살릴 수 있을까?

《하트 오브 비즈니스》의 저자 위베르 졸리는 기업이 목적을 분명히 하고, 사람에게 집중해야 한다고 강조한다. 그는 미국 대형 전자제품 유통업체 ‘베스트 바이’의 최고경영자로 있으면서 남다른 경영 철학으로 기업을 회생시켰다. 2012년, 베스트 바이는 누가 봐도 쓰러져 가고 있었다. 그러나 8년 뒤, 베스트 바이는 미국에서 가장 사랑받는 기업 중 하나로 살아났고, 고객 만족도는 물론 주가도 드라마틱하게 올랐다. 위베르 졸리는 베스트 바이의 극적인 변화를 통해, 이 시대에 필요한 진정한 리더십을 몸소 보여줬다.

책에서는 베스트 바이를 일으킨 경영 철학과 실질적인 변화 과정, 교훈 등이 상세히 소개된다. 기업이 이윤만 추구하는 것이 아니라, 숭고한 목적을 가지고 모든 직원이 잠재력을 꽃피울 환경을 조성함으로써 수익을 결과로 만드는 비결이다. 이런 방식을 이해하긴 쉬워도 실행하기는 어렵다. 기업에 대한 정의, 일을 대하는 사고방식, 사람을 이끌고 동기부여하는 방법 등을 철저히 재고해야 하기 때문이다. 그럼에도 저자는 이것이 지속 가능한 경영을 위한 핵심이라고 단언한다.

이 책은 낡은 패러다임을 버리고, 목적과 인간애로 사람들을 이끌 준비가 된 리더를 위한 시기적절한 지침서다. 어떻게 자본주의를 재창조해, 지속 가능한 미래를 위해 일할 수 있는지 그 방법을 확실히 제시한다. 《하트 오브 비즈니스》는 새로운 시대의 비즈니스를 고민하는 리더와 조직, 기업들에게 변화를 위한 훌륭한 길잡이가 되어 줄 것이다."
144,인스타 브레인,"<인스타 브레인> 

“하루에 2600번 스마트폰을 만지는 동안, 
우리 뇌의 회로가 변하고 있다!”

누적 75만 부 세계적 작가,
‘운동과 뇌의 관계’에 대한 어젠다를 촉발시킨 안데르스 한센의 최신작
★2019 헬스 어워드(Health Award) 수상작★2019 빅 프레저디스 프라이즈(Prejudice Prize) 수상작
★2019 리드먼 어워드 수상작
★2019 <톱핼사>가 뽑은 톱 헬스 어워드 수상작
★2019 골든 하트 명예상(The Golden Heart’s Honorary Award) 수상작
★2019 라디오 프로그램 <Summer in P1> 청취 1위 상

21세기 시간 도둑, 스마트폰은 우리 뇌를 어떻게 바꾸었나?
리처드 도킨스, 스티븐 핑커와 어깨를 나란히 하는 세계적 작가, 
안데르스 한센의 디지털 뇌 분석서

하루 평균 2600번의 터치, 스크린 타임은 3시간 이상. 아침에 눈뜰 때부터 밤에 잠들기 전까지 옆에 없으면 패닉 상태에 빠질 정도로 우리의 일거수일투족을 함께하는 물건. 다름 아닌 스마트폰이다. 20세기 최고의 시간 도둑이 TV였다면, 21세기에는 스마트폰이 그 역할을 하고 있는 것이다. 하지만 휴대가 가능하고 사용자가 자발적으로 사용한다는 측면에서 스마트폰은 TV와는 비교도 할 수 없을 정도로 그 중독성이 강하다. 그렇다면 이 새로운 발명품이 우리 몸에 그리고 우리 뇌에 어떤 영향을 주고 있을까?
스웨덴 출신의 세계적 작가이자 정신과 의사, 안데르스 한센은 바로 이 문제를 집중적으로 파고들었다. 그는 어느 날, 좀처럼 책에 몰두하지 못하고, 자꾸만 별 이유 없이 스마트폰을 만지는 자기 자신의 모습을 ‘깨닫고’ 충격을 받은 나머지 이 문제에 대해 뇌 과학적인 분석을 하기 시작했고, 이 책, 『인스타 브레인(원제: SKÄRMHJÄRNAN; SCREEN BRAIN)』을 쓰게 되었다. 간단하게 이야기하자면, 스마트폰은 우리가 과거보다 덜 자게 만들고, 덜 움직이게 만들었으며, 직접 사람을 만나 교류하는 시간을 단축시켰다. 그런데 아직도 수렵 채집인의 뇌를 갖고 있는 우리는 ‘충분히 자고 싶은 욕구, 몸을 움직이고 싶은 욕구, 사람들과 관계를 맺고 싶은 욕구’를 고스란히 갖고 있기에 불면증과 우울증의 폭발적 증가, 청소년들의 집중력 감퇴와 학력 저하 현상, 디지털 치매 등등은 필연적인 결과라는 것이다. 이 책에는 이 주제에 대한 전 세계의 수많은 연구 결과와 설문 조사, 심리 실험 결과 등등이 집대성돼 있는데, 정신과 의사이자 신경의학자답게 뇌 과학 이론을 접목시켜 독자의 이해를 돕고 있는 것이 가장 큰 장점 중 하나이다.
문제 제기와 이론으로만 그치지 않고 일상생활에서 어떤 방식으로 디지털 디톡스를 해야 할지를 이해하기 쉽게 설명해준다는 점에서 뇌 과학 건강서라 할 수 있는 이 책은 현재 스웨덴에서만 8만 부가량 판매되었고 12개국에 판권이 팔렸으며 국민 건강에 이바지한 개인이나 단체에 주는 상인 2019 헬스 어워드를 비롯하여 6개가 넘는 각종 상을 수상했다. 작가 안데르스 한센은 이 인기에 힙입어 공중파 TV인 SVT에서 <당신의 뇌(Dinhjärna)>라는 프로그램을 진행한 바 있는데 스티븐 핑커, 로버트 새폴스키, 수전 그린필드, 리처드 도킨스 등 세계적인 석학들을 게스트로 초대해서 큰 화제를 불러일으켰다."
145,소크라테스 익스프레스,"<소크라테스 익스프레스> 프랑스 사상가 모리스 리즐링은 말한다. “결국 인생은 우리 모두를 철학자로 만든다.” 하지만 인생이 호락호락하지 않음을 우리는 수시로 깨닫는다. 여기, 인생에서 가장 중요한 질문을 하고 답을 찾기 위해 평생을 바친 철학자들이 있다. 그들에게 삶에 도움이 되는 조언을 받는 것은 어떨까?

《소크라테스 익스프레스》는 마르쿠스 아우렐리우스부터 몽테뉴까지 역사상 가장 위대한 철학자들을 만나러 떠나는 여행기이자, 그들의 삶과 작품 속의 지혜가 우리 인생을 개선하는 데 어떻게 도움이 되는지 답을 찾아가는 책이다. 매력적인 글솜씨로 “빌 브라이슨의 유머와 알랭 드 보통의 통찰력이 만났다”는 평가를 받는 에릭 와이너가 이 여행의 동반자로 나선다."
146,제 마음대로 살아보겠습니다,"<제 마음대로 살아보겠습니다> 

현실은 엉망이지만 “일단 가면 어떻게든 되겠지!”

『제 마음대로 살아보겠습니다』는 ‘원지의 하루’라는 채널을 운영하고 있는 여행 유튜버 원지의 피땀눈물의 여행기를 담은 책이다. 책에는 생생한 여행기와 함께 누구나 20대, 30대를 지나면서 겪는 청춘의 고민이 함께 담겨 있다. 대학 졸업 후 진로, 박봉과 야근, 서른이라는 나이의 압박, 하고 싶은 일과 해야 하는 일 사이 등등. 그렇다 보니 여자 혼자 무턱대고 떠난 아프리카 여행부터 야근과 박봉이 필수였던 직장인 시절, 회사를 박차고 나와 하고 싶은 일에 열정으로 덤벼들던 스타트업 창업, 우간다에서 벌인 또 다른 스타트업, 서른이라는 나이에 미국으로 훌쩍 인턴을 떠나버린 일까지 에피소드가 다양하다.

하나도 연관이 없던 것 같던 이 일들은 그녀가 6만 명 이상의 구독자를 보유한 ‘여행 유튜버’로 성장할 수 있는 밑거름이 되었고, 지금은 좋아하는 일을 업으로 삼으며 행복한 나날을 보내고 있다. ‘이 하루 끝엔 뭐가 있을까?’ ‘지금까지 해온 일들은 아무 힘도 없지 않을까.’ 하고 매번 현실의 벽 앞에 불안해하면서도 마음의 소리를 따라 흘러가듯 살았더니, 원하는 삶을 살게 되었다는 그녀. 그녀의 풀어낸 이야기는 많은 이들에게 위로와 응원을 건넬 것이다."
147,눈 감으면 보이는 것들,"<눈 감으면 보이는 것들> 미 월가의 시각장애인 애널리스트 신순규가 바쁜 현대인들에게 일상적인 것들의 소중함을 전하는 에세이. 아홉 살에 완전히 시력을 잃은 1급 시각장애인, 하버드와 MIT에서 공부한 명문대 졸업생, JP모건과 브라운 브라더스 해리먼에서 20년 넘게 일해 온 베테랑 애널리스트, 세계 최초의 시각장애인 공인재무분석사(CFA)….

이런 거창한 타이틀보다는 누군가의 남편이자 아빠, 친구, 동료로서의 역할에 충실하며 평범하게 살아가기 위해 부단히도 애쓰는 저자가 눈이 보이지 않아서 얻을 수 있었던 삶의 단순한 지혜와 일상에서 느끼는 감동의 순간들을 전한다. 이 놀라운 '일상의 기적'들을 세상과 나누고 싶어서 지난 3년간 점자 컴퓨터로 써 내려간 뜨거운 진심이 이 책의 페이지 곳곳에 숨 쉬고 있다."
148,차녀 힙합,"<차녀 힙합> 내 성격이 이상한 걸까? 우리집이 유별난 걸까? 너무 사소하고 미묘해서, 치사하고 유치해서, 차마 말하지 못했던 그 모든 서러움의 뿌리를 찾아 과거를 되짚어보는 <차녀 힙합>은 둘째 딸의 입장에서 가족 역학 관계와 사회적 맥락을 살펴보는 작업이다. ‘둘째’라는 존재에 꾸준히 관심을 갖고 온전한 애정을 향한 갈망과 우선순위에서 끊임없이 밀리는 주변부의 경험을 한데 합쳐 ‘차녀성’이라 이름 붙인 전국둘째연합 회장 이진송이 썼다.

정상가족 이데올로기가 여전히 공고한 만큼, 태어나자마자 ‘또 딸’이자 아들이 아닌 ‘꽝’으로 집안에서 소외당했던 둘째 딸의 이야기는 어느 한 개인만의 특수한 삶이 아니다. 딸은 출가외인으로 여겨지던 전통이 아직 유효하던 때부터 현재의 ‘딸 바보’ 열풍까지, 그사이에 태어나고 자란 무수한 딸들의 이야기에 대한 궁금증으로 이 책은 쓰였다.

강한 인정욕구와 애정결핍, 어디를 가든 빠르게 눈치를 살피는 버릇, 소외된 사람들을 세심히 챙기면서도 정작 자신을 위한 일 앞에서는 머뭇거리는 것, 갈등 상황이 생기면 중간에서 조율하고 중재하는 역할을 도맡는 것… 이 모든 게 바로 보통의 차녀들에게서 공통적으로 발견되는 특성들이다. 작가는 흔히 ‘장녀라서’ ‘장남이라서’ 등으로 이야기되는 기질처럼, ‘차녀라서’ 지니게 되는 성격적 특성을 자신의 삶의 궤적을 토대로 면밀히 살핀다."
149,프로그래머의 뇌,"<프로그래머의 뇌> 인지과학을 활용한 개발자의 일머리 개선법

이 책은 인지과학에 기반을 둔 각종 방법론으로 개발자가 새로운 언어나 프레임워크를 빠르게 배워 생산성을 향상하도록 돕는다. 코드를 더 잘 이해하는 것에서 나아가, 버그 방지, 명확한 작명법, 리팩터링, 대규모 코드베이스 개선에 이르기까지 과학적으로 입증된 기법을 제시한다."
